agent,key-direct,direct-listener,artifacts
2,1548,274,0
2,1559,273,0
2,1305,273,0
2,2056,273,0
2,1495,274,0
2,2120,270,0
2,1566,272,0
2,2432,272,0
2,2077,271,0
2,2258,272,0
2,1690,273,0
2,1658,272,0
2,2102,270,0
2,1793,272,0
2,1938,273,0
2,2382,273,0
2,1878,274,0
2,2301,273,0
2,1665,273,0
2,1978,272,0
2,2262,272,0
2,1456,270,0
2,1500,272,0
2,1615,272,0
2,1882,272,0
2,1967,273,0
2,2230,271,0
2,1796,274,0
2,1555,274,0
2,1811,271,0
