agent,key-direct,direct-listener,artifacts
8,2403,273,1
8,1861,273,2
8,2203,272,1
8,1929,273,3
8,1719,272,2
8,1734,273,0
8,1270,272,0
8,2032,273,0
8,2281,272,1
8,1790,273,0
8,1883,272,1
8,2144,274,1
8,1868,272,1
8,1797,273,2
8,2334,272,0
8,1753,273,0
8,1592,272,4
8,2295,271,0
8,1436,272,1
8,1338,273,0
8,2185,272,1
8,2510,273,0
8,1534,272,0
8,1597,273,1
8,2002,272,2
8,2461,273,0
8,2207,272,1
8,1958,273,0
8,1553,273,1
8,1658,273,1
