agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
7.16,10.413,9.111,6.509,10.796,6.457,7.412,9.655
8.673,6.49,8.122,10.712,11.105,8.183,8.837,7.52
6.055,7.607,13.859,5.722,1.966,11.217,24.629,8.495
8.689,12.291,1.245,9.151,15.416,6.067,0.142,10.879
8.65,6.62,7.347,11.138,1.624,8.849,5.823,9.238
11.183,8.983,13.627,5.057,10.425,9.132,3.783,6.427
5.974,6.559,4.982,8.366,7.469,6.401,9.885,10.063
9.128,8.552,10.13,11.813,7.707,9.983,5.723,6.682
6.651,11.275,5.005,4.357,8.511,6.913,9.931,6.965
8.372,4.832,11.089,8.63,6.885,8.236,7.811,10.618
8.013,7.745,6.06,10.16,9.135,8.68,7.954,4.01
8.268,10.122,10.661,8.99,9.931,7.69,8.186,12.577
11.23,7.666,10.792,6.07,7.007,7.253,14.135,8.844
5.469,7.797,3.65,7.896,7.033,10.007,3.572,9.244
11.22,7.497,15.967,12.506,11.294,9.829,10.578,7.238
4.228,8.005,2.125,4.563,7.736,8.332,8.184,5.716
8.744,10.452,11.032,8.155,7.132,5.951,6.445,8.254
12.93,7.361,5.925,8.497,10.498,10.742,7.711,9.903
5.215,7.112,10.211,11.163,5.723,9.082,6.378,6.528
8.066,7.979,4.172,5.895,12.431,7.403,7.898,7.499
8.258,12.938,11.759,7.693,6.596,12.209,11.421,8.565
7.885,6.822,6.139,7.984,11.114,1.772,6.883,10.108
8.074,5.274,9.521,11.287,6.289,10.982,8.75,7.176
11.944,10.928,7.194,4.376,6.142,6.702,7.141,11.199
6.105,12.877,12.486,10.357,6.707,11.027,14.379,5.611
9.186,7.327,3.962,9.067,10.132,6.368,1.099,9.114
6.111,3.769,7.971,7.932,9.368,6.756,14.658,5.914
8.778,8.949,12.594,9.06,6.747,9.093,4.525,9.76
10.933,6.665,3.815,3.996,6.929,10.021,5.606,7.45
5.283,7.381,9.801,15.608,9.455,6.166,12.253,8.122
