agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
29.648,32.748,31.273,30.94,30.988,31.814,32.142,37.513
30.549,26.556,30.883,33.071,32.129,27.973,29.577,17.321
36.093,29.023,29.655,25.397,28.355,30.105,30.431,35.648
26.282,32.117,28.572,29.037,30,29.041,26.024,25.575
26.982,29.455,31.03,30.114,27.407,31.967,37.472,49.2
30.422,31.855,31.099,32.022,27.877,30.174,30.199,12.218
36.342,28.25,27.522,34.223,37.047,36.794,23.021,30.09
27.464,28.874,29.259,25.805,25.621,28.862,32.73,34.173
26.635,29.169,30.754,33.112,31.636,24.597,30.658,25.956
31.05,31.354,29.964,24.63,29.489,28.021,28.625,29.378
31.018,32.234,30.766,32.072,32.213,29.741,34.147,35.068
26.554,30.067,28.627,28.404,28.166,31.34,25.493,27.304
32.072,27.666,32.214,31.094,29.941,31.776,28.507,28.792
29.093,29.416,27.812,30.075,30.624,28.693,42.056,27.767
31.881,30.859,29.804,30.049,26.825,33.209,21.057,38.621
31.818,29.635,30.108,28.166,33.397,26.155,28.624,24.21
28.343,32.594,30.167,32.186,31.307,27.37,32.225,29.208
28.34,27.556,30.115,30.107,25.12,36.743,27.343,44.416
29.043,28.607,30.84,29.049,28.274,28.437,34.192,23.979
29.059,35.12,36.009,30.534,33.212,28.866,29.804,17.02
30.551,26.523,26.456,30.823,29.298,28.47,26.158,33.385
32.229,29.887,28.912,29.915,31.185,30.545,34.133,29.846
27.059,28.119,27.998,30.827,30.106,26.946,27.319,30.287
30.527,32.375,35.363,26.338,29.126,35.332,28.17,33.315
33.703,27.906,28.752,33.138,29.638,25.293,27.788,30.166
28.76,29.36,26.718,29.322,30.703,31.158,35.034,29.996
27.599,30.073,35.108,29.255,30.751,30.97,30.69,26.73
29.992,35.235,27.754,30.159,31.478,34.309,32.659,35.966
29.247,25.341,27.414,32.5,24.882,28.545,26.064,24.476
33.379,31.62,28.957,26.957,34.905,38.805,30.213,30.398
29.634,30.037,28.779,29.465,32.272,16.354,25.998,29.53
29.451,29.338,31.368,30.882,30.173,31.155,31.723,28.248
30.662,33.443,31.835,30.752,26.716,29.617,27.817,31.768
27.166,24.883,27.114,28.994,32.334,34.743,31.937,38.26
34.896,32.24,31.92,29.393,25.369,25.304,29.364,22.629
25.961,33.278,30.136,33.526,31.994,30.063,34.047,28.381
30,26.571,28.345,29.129,27.588,28.161,27.83,28.198
28.983,29.48,34.026,29.42,32.241,31.766,29.594,30.318
31.824,34.96,27.018,27.781,26.35,31.445,29.117,31.097
28.941,24.13,29.706,30.957,32.533,30.023,33.327,30.337
29.91,30.662,29.333,30.9,34.048,27.518,30.07,27.432
29.151,28.834,34.644,31.392,26.271,31.331,29.795,31.012
30.669,30.413,26.06,27.617,31.133,27.22,28.926,30.33
31.046,34.191,31.358,30.011,29.435,32.444,28.345,29.016
29.358,25.86,28.053,31.872,27.417,40.699,27.193,34.29
32.281,29.565,29.443,29.551,31.318,19.2,32.748,28.278
33.741,31.767,34.289,31.346,29.056,36.862,34.029,29.077
23.537,29.614,26.012,28.745,29.896,23.628,24.972,29.559
29.074,28.598,30.208,28.466,29.041,29.726,32.754,28.921
31.288,29.479,30.918,34.599,30.664,29.545,30.481,34.333
29.22,33.293,30.447,27.169,30.549,29.001,28.72,33.973
34.947,28.267,28.254,27.833,32.861,30.94,26.287,25.877
24.984,30.071,31.319,37.892,29.462,29.761,31.69,30.946
33.89,28.653,28.221,21.133,29.65,30.05,31.02,26.642
25.929,34.045,32.097,30.863,34.481,32.319,29.344,29.911
30.699,26.228,30.073,31.794,26.869,25.104,35.543,32.789
35.257,29.542,29.212,30.339,31.497,33.403,25.206,38.091
26.667,31.301,28.385,28.281,30.024,28.664,28.604,29.085
26.639,33.043,33.136,31.803,30.337,33.934,34.882,18.982
30.277,27.054,29.955,27.268,24.952,29.667,30.49,32.721
31.077,32.721,27.68,31.595,34.65,25.85,25.603,37.019
33.198,26.963,29.893,31.039,27.217,30.652,28.43,26.122
28.265,28.529,31.598,28.551,28.5,28.44,33.302,25.32
27.324,31.104,28.151,36.334,29.574,30.347,29.563,28.948
31.415,32.185,34.331,26.953,31.621,33.602,33.12,31.1
30.496,29.475,25.122,26.093,27.432,27.263,24.771,28.235
31.622,32.406,31.038,30.277,31.146,31.24,33.881,29.84
26.805,26.271,33.532,30.138,28.823,28.049,28.437,32.391
29.953,28.384,29.921,31.147,31.38,29.84,31.301,27.314
34.271,30.492,27.198,28.131,30.56,32.727,24.858,32.251
26.117,33.051,30.988,29.574,33.787,30.913,31.948,30.042
31.331,26.198,27.487,31.852,25.209,40.115,27.968,31.497
30.553,30.382,33.039,30.232,29.056,16.149,29.957,39.206
28.444,32.264,35.596,29.137,30.005,32.359,36.668,22.003
29.349,31.272,22.888,29.153,28.759,30.99,28.068,26
31.431,28.157,28.641,30.42,30.845,28.721,28.553,36.396
31.965,28,31.092,29.075,31.765,34.865,29.603,22.668
31,33.095,34.065,28.886,30.41,27.466,29.576,40.754
29.115,28.487,26.955,29.838,41.695,31.111,29.823,23.03
28.019,31.367,28.629,34.283,17.316,25.941,31.684,28.484
31.592,31.232,30.807,28.325,31.534,31.118,26.079,29.629
32.85,32.113,29.471,27.279,31.177,36.135,34.341,31.28
23.775,25.654,32.418,34.093,32.294,24.978,32.284,35.122
34.541,31.517,26.068,29.82,24.904,29.1,31.747,26.104
25.325,27.038,30.709,27.661,27.786,30.143,24.332,37.302
36.559,30.588,30.047,28.278,37.633,30.87,31.153,25.239
26.248,30.962,29.234,32.327,26.63,28.418,32.582,26.207
29.934,28.681,30.253,31.744,29.265,32.47,38.261,32.819
28.043,33.33,37.228,26.257,31.065,27.844,20.363,26.009
31.57,29.581,23.855,29.964,27.38,30.301,32.564,28.079
28.819,28.01,37.207,31.663,30.052,30.923,24.881,33.224
28.87,32.192,25.01,30.573,30.354,35.594,30.67,27.945
31.534,31.455,28.159,30.1,28.732,23.667,29.012,31.777
29.205,25.367,30.505,28.529,32.988,35.408,29.614,40.236
29.553,31.767,27.987,31.32,26.394,23.227,33.435,22.88
32.008,29.395,33.923,27.476,35.387,30.512,33.731,25.404
27.709,33.459,26.108,32.482,26.743,37.003,27.347,34.102
29.774,28.192,30.765,27.987,28.568,22.993,30.875,30.477
30.558,29.206,31.041,31.787,29.404,30.715,24.14,26.509
31.345,29.361,28.616,28.279,36.304,30.935,31.913,29.388
33.06,28.385,34.026,31.805,24.223,27.199,28.049,34.486
26.047,31.292,27.53,28.605,31.271,36.444,34.311,25.215
31.61,32.018,30.034,31.351,35.572,31.46,25.083,27.991
27.492,32.332,30.129,29.256,22.611,22.668,32.876,34.331
30.238,27.24,31.542,30.782,29.856,34.061,33.327,30.098
31.94,28.088,26.706,27.984,37.763,26.194,25.491,29.752
31.427,28.181,30.381,29.406,32.256,30.245,29.268,29.084
27.01,31.773,30.615,30.359,22.798,32.199,30.111,28.593
29.214,29.865,28.63,30.382,32.742,30.186,31.342,39.39
33.817,28.737,32.305,34.003,25.687,27.818,30.65,28.781
26.03,33.042,29.841,26.743,28.626,28.243,29.033,28.679
