agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
1.218,2.467,1.284,1.915,1.943,2.715,3.428,2.296
0.696,0.885,3.5,1.881,3.034,2.648,5.895,2.444
0.518,0.898,1.324,6.309,2.732,2.689,2.237,4.162
1.24,0.925,1.292,2.342,1.557,5.177,2.314,4.487
1.209,0.862,1.413,4.435,1.786,4.692,2.321,2.429
1.228,0.97,1.362,2.317,3.439,2.682,2.242,2.465
0.8,0.684,1.278,2.335,1.777,4.654,2.336,2.353
0.69,0.887,1.266,4.465,1.732,2.863,2.23,4.389
1.167,0.892,1.359,1.557,3.527,2.869,2.357,2.428
0.552,0.89,1.306,1.73,3.551,4.815,2.343,1.689
0.333,0.879,1.313,3.045,1.696,2.882,3.778,3.301
0.245,0.94,1.29,1.738,5.903,6.23,2.306,3.465
1.203,0.69,1.318,1.623,2.266,2.805,2.193,2.922
1.156,1.521,1.281,1.627,3.328,4.828,2.297,3.813
1.045,1.476,1.326,1.645,1.77,2.896,3.85,2.91
1.194,1.429,1.304,3.11,1.755,2.86,8.335,3.047
0.707,1.475,1.261,1.678,1.826,4.817,3.303,3.319
0.688,0.795,1.261,1.63,1.751,3.486,3.394,3.627
1.178,1.009,1.381,1.486,2.057,2.833,3.24,2.201
0.528,1.04,1.263,1.587,1.767,2.894,3.29,2.34
0.806,1.019,1.287,4.021,1.84,4.681,3.23,4.068
0.68,1.054,1.309,3.422,1.779,5.2,1.841,6.775
1.2,0.8,1.322,1.764,1.927,3.255,3.303,3.602
0.666,1.007,1.282,1.897,1.831,2.25,3.337,2.065
0.506,1.075,1.293,1.892,1.747,8.495,1.954,2.428
1.171,1.022,1.303,1.914,2.935,5.778,2.098,9.183
0.688,1.011,1.296,1.893,3.475,2.464,2.739,5.043
1.204,1.414,1.266,1.969,4.275,2.655,2.405,2.052
1.144,1.082,3.269,2.64,1.74,4.702,3.856,3.503
0.523,1.425,1.375,3.597,1.977,2.247,4.188,7.317
0.689,1.508,1.468,3.766,4.494,2.164,2.004,5.394
1.183,1.411,1.253,4.062,2.23,8.075,2.267,2.179
1.198,1.653,1.397,3.589,2.105,3.043,2.194,5.365
0.772,4.046,3.491,3.742,2.474,8.708,2.299,2.252
3.322,1.377,1.327,1.936,2.594,5.063,2.431,3.963
1.236,1.438,1.88,2.166,2.719,2.269,2.216,2.281
0.674,1.435,1.79,2.199,3.75,3.997,2.307,2.249
0.703,1.46,1.06,4.449,1.682,2.411,7.386,2.269
0.68,4.199,1.069,1.984,1.593,8.97,3.277,4.338
0.669,1.282,1.047,2.128,1.362,3.142,3.623,2.229
0.688,1.422,1.045,1.97,3.816,10.597,3.471,2.318
0.592,1.522,1.03,2.219,1.64,5.972,5.473,5.811
0.694,0.901,1.108,4.181,1.9,5.037,3.568,2.469
0.766,2.472,1.035,2.585,1.658,3.748,1.996,3.242
0.787,0.779,1.807,2.198,1.692,2.297,2.098,2.644
0.812,0.938,1.935,2.171,1.62,2.261,1.969,2.505
0.547,1.435,4.882,2.308,1.828,2.311,1.975,1.804
0.701,1.416,0.925,2.229,1.717,2.373,4.345,3.901
0.758,1.455,0.98,2.239,1.477,2.291,2.382,3.566
0.677,0.739,1.014,2.187,1.657,2.812,8.485,2.483
0.723,0.93,0.988,2.2,1.13,3.109,4.826,2.33
0.527,0.981,3.108,2.264,2.224,3.02,3.006,2.867
1.307,0.936,1.032,2.152,5.422,2.933,1.94,4.801
1.208,0.958,1.095,2.216,2.765,3.063,1.967,2.798
0.771,0.953,0.977,2.339,1.564,3.018,1.93,2.607
1.212,0.734,0.969,2.156,3.64,3.049,3.096,4.939
3.412,0.923,1.819,2.146,1.477,3.031,3.436,4.836
0.721,0.987,1.124,2.2,3.781,3.022,3.148,2.754
0.617,0.936,1.117,2.188,3.943,5.241,4.474,2.879
1.191,0.938,1.177,2.177,3.173,2.987,2.559,10.298
0.675,0.732,1.074,2.141,3.259,5.286,2.332,5.013
0.76,1.418,0.715,2.21,2.106,4.437,2.291,2.913
0.759,1.439,0.736,2.176,1.269,2.374,2.514,2.478
0.518,1.412,0.698,2.141,1.699,2.272,9.167,3.862
0.792,1.758,0.749,4.049,1.578,2.232,5.2,2.423
0.674,1.092,0.729,2.171,1.698,8.903,2.443,3.175
1.156,1.434,0.788,2.173,1.255,3.418,3.034,1.988
1.217,1.423,0.728,2.176,4.499,8.668,2.978,1.547
0.509,1.467,1.912,2.221,2.148,2.485,2.845,1.685
1.243,1.417,0.721,4.266,1.592,2.662,3.236,11.051
1.202,1.431,0.748,2.417,1.473,2.689,2.744,2.878
0.696,1.19,0.71,2.17,1.528,1.758,3.031,2.753
0.71,2.924,0.74,2.228,1.469,1.778,4.852,1.64
1.053,1.439,2.05,2.183,1.515,4.557,3.566,1.55
1.225,1.413,0.647,2.178,1.305,2.624,3.358,1.565
0.694,1.478,1.653,2.215,2.477,2.729,1.733,3.108
0.756,4.294,1.506,2.189,4.005,2.668,3.481,2.449
0.796,1.236,1.531,2.296,3.247,2.684,3.329,2.07
