agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
0.034,0.029,0.04,0.021,0.021,0.019,0.018,0.013
0.037,0.026,0.038,0.026,0.02,0.035,0.018,0.034
0.035,0.029,0.038,0.025,0.023,0.033,0.016,0.015
0.035,0.027,0.026,0.023,0.021,0.022,0.032,0.015
0.042,0.03,0.026,0.023,0.022,0.026,0.021,0.019
0.033,0.027,0.028,0.022,0.02,0.031,0.013,0.017
0.036,0.028,0.027,0.022,0.038,0.02,0.029,0.016
0.036,0.026,0.023,0.02,0.033,0.019,0.03,0.03
0.037,0.028,0.03,0.021,0.027,0.021,0.021,0.017
0.037,0.025,0.028,0.026,0.026,0.012,0.017,0.02
0.043,0.039,0.027,0.022,0.023,0.024,0.016,0.035
0.035,0.037,0.028,0.021,0.025,0.031,0.03,0.019
0.037,0.042,0.025,0.023,0.019,0.025,0.018,0.01
0.033,0.039,0.028,0.022,0.017,0.015,0.014,0.025
0.036,0.04,0.027,0.026,0.017,0.029,0.014,0.018
0.037,0.037,0.026,0.021,0.034,0.019,0.026,0.016
0.035,0.037,0.029,0.018,0.024,0.019,0.016,0.011
0.036,0.039,0.026,0.016,0.011,0.031,0.017,0.009
0.037,0.04,0.027,0.029,0.025,0.022,0.014,0.012
0.037,0.046,0.026,0.03,0.026,0.032,0.039,0.018
0.035,0.041,0.026,0.035,0.022,0.019,0.021,0.024
0.037,0.042,0.029,0.021,0.021,0.03,0.019,0.018
0.039,0.043,0.028,0.036,0.031,0.018,0.013,0.016
0.037,0.038,0.027,0.032,0.021,0.031,0.013,0.014
0.036,0.039,0.029,0.022,0.024,0.035,0.013,0.021
0.034,0.042,0.028,0.022,0.04,0.023,0.012,0.015
0.036,0.041,0.025,0.023,0.021,0.025,0.027,0.015
0.035,0.045,0.029,0.021,0.019,0.021,0.029,0.008
0.037,0.037,0.027,0.023,0.023,0.021,0.027,0.018
0.039,0.039,0.027,0.01,0.02,0.023,0.017,0.018
0.037,0.039,0.029,0.025,0.028,0.023,0.018,0.024
0.035,0.036,0.027,0.021,0.033,0.026,0.026,0.022
0.037,0.038,0.026,0.021,0.023,0.013,0.015,0.011
0.036,0.041,0.028,0.027,0.023,0.023,0.015,0.019
0.04,0.044,0.024,0.023,0.036,0.022,0.015,0.012
0.036,0.042,0.029,0.021,0.113,0.022,0.03,0.012
0.049,0.04,0.025,0.021,0.02,0.035,0.017,0.023
0.034,0.039,0.024,0.022,0.024,0.018,0.016,0.015
0.036,0.033,0.027,0.027,0.023,0.022,0.02,0.009
0.036,0.031,0.028,0.023,0.021,0.034,0.021,0.015
0.037,0.038,0.028,0.033,0.034,0.033,0.01,0.02
0.037,0.044,0.029,0.035,0.016,0.026,0.018,0.017
0.036,0.028,0.027,0.018,0.026,0.026,0.031,0.017
0.037,0.029,0.029,0.02,0.028,0.023,0.019,0.037
0.029,0.027,0.016,0.019,0.029,0.023,0.02,0.02
0.028,0.03,0.027,0.019,0.027,0.018,0.019,0.018
0.041,0.027,0.027,0.016,0.032,0.017,0.019,0.021
0.036,0.029,0.03,0.018,0.024,0.016,0.011,0.018
0.036,0.04,0.028,0.019,0.026,0.013,0.006,0.016
0.036,0.042,0.029,0.022,0.035,0.014,0.013,0.02
0.036,0.037,0.028,0.018,0.022,0.016,0.013,0.015
0.04,0.039,0.029,0.021,0.023,0.015,0.025,0.036
0.036,0.04,0.026,0.018,0.026,0.017,0.025,0.019
0.035,0.041,0.029,0.018,0.023,0.033,0.019,0.011
0.048,0.038,0.023,0.02,0.037,0.022,0.034,0.04
0.036,0.04,0.027,0.02,0.019,0.022,0.036,0.02
0.036,0.04,0.028,0.02,0.021,0.022,0.016,0.013
0.037,0.042,0.029,0.019,0.022,0.031,0.016,0.022
0.036,0.038,0.029,0.018,0.035,0.019,0.032,0.013
0.036,0.041,0.027,0.019,0.023,0.009,0.016,0.011
0.037,0.038,0.031,0.018,0.023,0.017,0.017,0.033
0.041,0.042,0.023,0.02,0.028,0.02,0.014,0.033
0.036,0.04,0.028,0.02,0.024,0.015,0.015,0.011
0.043,0.035,0.028,0.021,0.019,0.019,0.016,0.016
0.036,0.038,0.027,0.021,0.034,0.016,0.017,0.017
0.04,0.04,0.029,0.021,0.021,0.038,0.014,0.012
0.037,0.042,0.041,0.018,0.024,0.024,0.016,0.036
0.035,0.043,0.028,0.021,0.023,0.019,0.016,0.02
0.036,0.037,0.031,0.018,0.025,0.019,0.017,0.013
0.036,0.043,0.028,0.018,0.026,0.016,0.017,0.012
0.038,0.028,0.024,0.021,0.022,0.02,0.016,0.011
0.036,0.028,0.025,0.023,0.023,0.019,0.017,0.013
0.034,0.031,0.031,0.018,0.021,0.024,0.016,0.021
0.038,0.027,0.028,0.033,0.026,0.024,0.038,0.015
0.037,0.029,0.029,0.032,0.026,0.017,0.012,0.022
0.036,0.03,0.027,0.032,0.02,0.016,0.018,0.016
0.037,0.027,0.029,0.025,0.021,0.016,0.016,0.014
0.036,0.031,0.027,0.029,0.038,0.017,0.018,0.015
0.036,0.029,0.027,0.036,0.037,0.016,0.017,0.013
0.037,0.029,0.027,0.021,0.033,0.025,0.033,0.02
0.046,0.042,0.026,0.025,0.02,0.03,0.023,0.044
0.035,0.042,0.023,0.023,0.037,0.031,0.022,0.029
0.037,0.041,0.024,0.025,0.038,0.03,0.015,0.018
0.036,0.041,0.026,0.023,0.036,0.019,0.021,0.034
0.039,0.043,0.029,0.024,0.022,0.018,0.02,0.017
0.036,0.04,0.029,0.023,0.022,0.018,0.018,0.018
0.035,0.039,0.026,0.014,0.021,0.035,0.01,0.011
0.036,0.038,0.026,0.017,0.024,0.024,0.033,0.015
0.036,0.037,0.029,0.016,0.027,0.023,0.022,0.014
0.036,0.039,0.028,0.016,0.025,0.018,0.011,0.019
0.038,0.04,0.028,0.017,0.022,0.02,0.015,0.014
0.031,0.047,0.026,0.014,0.022,0.019,0.017,0.014
0.034,0.047,0.029,0.014,0.025,0.02,0.014,0.013
0.036,0.046,0.03,0.016,0.039,0.028,0.014,0.018
0.057,0.038,0.024,0.037,0.034,0.018,0.016,0.019
0.036,0.04,0.027,0.033,0.021,0.015,0.015,0.014
0.039,0.046,0.03,0.019,0.019,0.022,0.013,0.015
0.036,0.039,0.027,0.018,0.032,0.015,0.013,0.014
0.035,0.038,0.04,0.022,0.038,0.018,0.014,0.014
0.036,0.04,0.04,0.022,0.022,0.018,0.015,0.03
0.035,0.038,0.069,0.028,0.053,0.009,0.03,0.014
0.036,0.042,0.039,0.018,0.021,0.017,0.027,0.015
0.037,0.04,0.035,0.02,0.025,0.031,0.028,0.02
0.043,0.04,0.038,0.021,0.033,0.03,0.018,0.015
0.036,0.042,0.03,0.022,0.021,0.019,0.018,0.013
0.037,0.042,0.029,0.022,0.025,0.02,0.01,0.016
0.036,0.043,0.025,0.021,0.023,0.022,0.018,0.021
0.038,0.042,0.026,0.019,0.025,0.015,0.017,0.022
0.037,0.043,0.028,0.017,0.027,0.017,0.032,0.013
0.034,0.042,0.03,0.02,0.033,0.015,0.019,0.016
0.035,0.041,0.028,0.021,0.022,0.016,0.019,0.014
0.04,0.039,0.028,0.021,0.022,0.03,0.021,0.014
0.037,0.026,0.026,0.02,0.024,0.019,0.019,0.012
0.037,0.024,0.031,0.02,0.023,0.017,0.019,0.015
0.036,0.022,0.028,0.021,0.036,0.036,0.022,0.012
0.035,0.025,0.029,0.023,0.019,0.024,0.014,0.012
0.048,0.022,0.036,0.018,0.016,0.034,0.031,0.015
0.035,0.042,0.041,0.025,0.021,0.025,0.015,0.013
0.036,0.038,0.038,0.019,0.022,0.014,0.029,0.013
0.036,0.039,0.042,0.021,0.018,0.013,0.023,0.013
0.035,0.039,0.026,0.02,0.022,0.033,0.028,0.025
0.054,0.041,0.029,0.025,0.02,0.024,0.019,0.025
0.036,0.038,0.027,0.023,0.017,0.022,0.021,0.011
0.036,0.041,0.027,0.022,0.016,0.022,0.02,0.016
0.038,0.039,0.029,0.019,0.02,0.021,0.018,0.015
0.034,0.041,0.029,0.023,0.032,0.011,0.018,0.017
0.033,0.041,0.026,0.021,0.036,0.019,0.019,0.018
0.033,0.038,0.03,0.019,0.026,0.02,0.02,0.009
0.035,0.037,0.028,0.021,0.024,0.022,0.021,0.025
0.037,0.042,0.026,0.02,0.022,0.022,0.021,0.021
0.036,0.038,0.03,0.023,0.023,0.022,0.019,0.021
0.039,0.041,0.026,0.02,0.021,0.034,0.02,0.021
0.035,0.038,0.026,0.021,0.027,0.02,0.019,0.017
0.036,0.035,0.026,0.02,0.025,0.02,0.032,0.012
0.036,0.039,0.021,0.021,0.023,0.02,0.021,0.015
0.034,0.041,0.026,0.02,0.037,0.031,0.027,0.011
0.037,0.042,0.026,0.021,0.036,0.052,0.021,0.011
0.036,0.019,0.029,0.023,0.027,0.016,0.021,0.011
0.052,0.037,0.023,0.022,0.036,0.019,0.012,0.012
0.041,0.035,0.025,0.022,0.019,0.02,0.014,0.027
0.036,0.042,0.028,0.021,0.032,0.021,0.032,0.021
0.036,0.041,0.026,0.02,0.017,0.021,0.03,0.016
0.041,0.03,0.023,0.02,0.022,0.022,0.013,0.019
0.036,0.026,0.023,0.019,0.022,0.035,0.014,0.035
0.037,0.027,0.023,0.024,0.024,0.022,0.013,0.018
0.037,0.027,0.023,0.022,0.025,0.021,0.014,0.013
0.036,0.029,0.028,0.021,0.024,0.024,0.012,0.031
0.037,0.03,0.025,0.02,0.025,0.021,0.013,0.015
0.052,0.027,0.029,0.021,0.034,0.025,0.028,0.016
0.037,0.028,0.026,0.021,0.021,0.022,0.017,0.039
0.035,0.03,0.026,0.026,0.025,0.012,0.018,0.02
0.037,0.026,0.031,0.02,0.027,0.021,0.016,0.016
