pk_send,pk_receive,size_bytes
1999,1595,60
2000,1606,60
1966,1588,60
2000,1646,60
1999,1600,60
1999,1617,60
2000,1668,60
2000,1632,60
1999,1649,60
2000,1584,60
1999,1602,60
2000,1657,60
2000,1646,60
2000,1625,60
2000,1599,60
1999,1605,60
2000,1643,60
2000,1625,60
1999,1633,60
2000,1614,60
2000,1600,60
2000,1610,60
2000,1614,60
2000,1638,60
2000,1618,60
2000,1575,60
1999,1609,60
1999,1600,60
1989,1614,60
2000,1598,60
