pk_send,pk_receive,size_bytes
2000,1524,180
2000,1488,180
2000,1477,180
2000,1518,180
2000,1507,180
2000,1547,180
2000,1528,180
1999,1473,180
2000,1538,180
2000,1529,180
2000,1539,180
2000,1506,180
2000,1517,180
2000,1557,180
2000,1544,180
2000,1529,180
2000,1537,180
2000,1523,180
2000,1531,180
2000,1548,180
2000,1537,180
2000,1530,180
2000,1556,180
2000,1534,180
2000,1556,180
2000,1576,180
2000,1529,180
2000,1551,180
2000,1519,180
2000,1514,180
